haskell-glob 0.9.2-1
haskell-haddock-library 1.4.5-7
haskell-hashable 1.2.7.0-1
haskell-hourglass 0.2.11-7
haskell-hs-bibutils 6.2.0.1-2
haskell-hslua 0.9.5.1-11
haskell-hslua-module-text 0.1.2.1-23
haskell-http 4000.3.11-12
haskell-http-client 0.5.12.1-1
haskell-http-client-tls 0.3.5.3-33
haskell-http-types 0.9.1-20
haskell-hxt 9.3.1.16-9
haskell-hxt-charproperties 9.2.0.1-5
haskell-hxt-regex-xmlschema 9.2.0.3-9
haskell-hxt-unicode 9.0.2.4-5
haskell-integer-logarithms 1.0.2.1-1
haskell-juicypixels 3.2.9.5-1
haskell-lexer 1.0.1-5
haskell-lifted-base 0.2.3.12-1
haskell-memory 0.14.16-2
haskell-mime-types 0.1.0.7-9
haskell-mmorph 1.1.2-1
haskell-monad-control 1.0.2.3-1
haskell-mtl 2.2.2-1
haskell-network 2.6.3.5-1
haskell-network-uri 2.6.1.0-11
haskell-old-locale 1.0.0.7-12
haskell-old-time 1.1.0.3-12
haskell-pandoc-types 1.17.4.2-1
haskell-parsec 3.1.13.0-2
haskell-pem 0.2.4-2
haskell-pretty-show 1.7-1
haskell-primitive 0.6.3.0-1
haskell-quickcheck 2.10.1-3
haskell-random 1.1-10
haskell-regex-base 0.93.2-31
haskell-regex-pcre 0.94.4-7
haskell-resourcet 1.1.11-10
haskell-rfc5051 0.1.0.3-7
haskell-safe 0.3.15-4
haskell-scientific 0.3.5.3-1
haskell-semigroups 0.18.4-1
haskell-setenv 0.1.1.3-7
haskell-sha 1.6.4.4-1
haskell-skylighting 0.6-14
haskell-socks 0.5.6-9
haskell-split 0.2.3.3-1
haskell-stm 2.4.5.0-1
haskell-streaming-commons 0.1.19-9
haskell-syb 0.7-4
haskell-tagged 0.8.5-5
haskell-tagsoup 0.14.6-1
haskell-temporary 1.2.1.1-6
haskell-texmath 0.10.1.1-16
haskell-text 1.2.3.0-2
haskell-text-icu 0.7.0.1-16
haskell-tf-random 0.5-15
haskell-th-abstraction 0.2.6.0-3
haskell-time-locale-compat 0.1.1.3-5
haskell-tls 1.4.1-10
haskell-transformers-base 0.4.4-10
haskell-transformers-compat 0.5.1.4-7
haskell-typed-process 0.2.2.0-2
haskell-unix-compat 0.4.3.1-5
haskell-unliftio-core 0.1.1.0-1
haskell-unordered-containers 0.2.9.0-4
haskell-utf8-string 1.0.1.1-6
haskell-uuid-types 1.0.3-13
haskell-vector 0.12.0.1-6
haskell-x509 1.7.3-5
